Date,Stock,Sentiment
2021-01-01,AMC,-0.05391666666666667
2021-01-01,GME,0.1846793103448276
2021-01-01,NOK,0.49211428571428567
2021-01-02,AMC,0.34937727272727276
2021-01-02,GME,0.1671454545454545
2021-01-02,NOK,0.3601666666666666
2021-01-03,AMC,0.09019999999999999
2021-01-03,GME,0.09534444444444445
2021-01-03,NOK,0.20106666666666667
2021-01-04,AMC,0.14294583333333336
2021-01-04,GME,0.12810972222222222
2021-01-04,NOK,0.375925
2021-01-05,AMC,0.3111685314685318
2021-01-05,GME,0.1406630434782609
2021-01-05,NOK,0.1995809523809524
2021-01-06,AMC,0.17374277456647405
2021-01-06,GME,0.08949242424242425
2021-01-06,NOK,0.12305
2021-01-07,AMC,0.30764224137931057
2021-01-07,GME,0.22611724137931033
2021-01-07,NOK,0.173045
2021-01-08,AMC,0.041148366013071896
2021-01-08,GME,0.019376
2021-01-08,NOK,0.1548153846153846
2021-01-09,AMC,0.3588583333333334
2021-01-09,GME,0.18165416666666667
2021-01-09,NOK,0.64615
2021-01-10,AMC,0.3207
2021-01-10,GME,0.17448400000000003
2021-01-10,NOK,-0.01758666666666667
2021-01-11,AMC,0.1910376288659794
2021-01-11,GME,0.16103771712158801
2021-01-11,NOK,0.25456764705882357
2021-01-12,AMC,0.3061176
2021-01-12,GME,0.20392072072072076
2021-01-12,NOK,0.2991194444444444
2021-01-13,AMC,0.30105350877192977
2021-01-13,GME,0.1563180396246091
2021-01-13,NOK,0.1849276595744681
2021-01-14,AMC,0.40387333333333353
2021-01-14,GME,0.15969863547758315
2021-01-14,NOK,0.29934615384615365
2021-01-15,AMC,0.21235801886792469
2021-01-15,GME,0.14800064432989687
2021-01-15,NOK,0.1993134146341463
2021-01-16,AMC,0.21986878048780475
2021-01-16,GME,0.16957616279069762
2021-01-16,NOK,0.31385217391304354
2021-01-17,AMC,0.2013684210526317
2021-01-17,GME,0.16988795811518329
2021-01-17,NOK,0.11778666666666666
2021-01-18,AMC,0.1584006493506494
2021-01-18,GME,0.18724578313253004
2021-01-18,NOK,0.19819999999999996
2021-01-19,AMC,0.18567417153996094
2021-01-19,GME,0.16490390161153518
2021-01-19,NOK,0.16542
2021-01-20,AMC,0.17192042016806727
2021-01-20,GME,0.12432878998609177
2021-01-20,NOK,0.20403666666666664
2021-01-21,AMC,0.15236811594202881
2021-01-21,GME,0.11723389974511479
2021-01-21,NOK,0.1488241379310345
2021-01-22,AMC,0.1500257812500001
2021-01-22,GME,0.10902674271229441
2021-01-22,NOK,0.271745
2021-01-23,AMC,0.21875943877551016
2021-01-23,GME,0.14464752851711027
2021-01-23,NOK,0.2572925925925925
2021-01-24,AMC,0.22652910662824194
2021-01-24,GME,0.16235029940119777
2021-01-24,NOK,0.2862261904761904
2021-01-25,AMC,0.15412966139954887
2021-01-25,GME,0.10301262143407854
2021-01-25,NOK,0.17036837806301022
2021-01-26,AMC,0.13283781777988365
2021-01-26,GME,0.10698095376141353
2021-01-26,NOK,0.16621755514705883
2021-01-27,AMC,0.08656789545158948
2021-01-27,GME,0.066556752003925
2021-01-27,NOK,0.09934713354221383
2021-01-28,AMC,-0.0003573512729568284
2021-01-28,GME,0.013368552995829699
2021-01-28,NOK,0.02098606889204557
2021-01-29,AMC,0.040484471408919184
2021-01-29,GME,0.04989898509213163
2021-01-29,NOK,0.08354620005005457
2021-01-30,AMC,0.05990119705340674
2021-01-30,GME,0.08567918805055381
2021-01-30,NOK,0.14811155866900197
2021-01-31,AMC,0.1392922986131609
2021-01-31,GME,0.11895187403400298
2021-01-31,NOK,0.14970010335917303
2021-02-01,AMC,0.09666153418307895
2021-02-01,GME,0.10432541770019103
2021-02-01,NOK,0.14181194450466092
2021-02-02,AMC,0.03273883340898651
2021-02-02,GME,0.05682330534900357
2021-02-02,NOK,0.15707072503419978
2021-02-03,AMC,0.11971688483003519
2021-02-03,GME,0.11840851419031645
2021-02-03,NOK,0.17922827102803773
2021-02-04,AMC,0.10252155106996538
2021-02-04,GME,0.10380072261663195
2021-02-04,NOK,0.147478307588986
2021-02-05,AMC,0.13463169737774644
2021-02-05,GME,0.1303495723121463
2021-02-05,NOK,0.20550365198711054
2021-02-06,AMC,0.17898997722095694
2021-02-06,GME,0.1263640875912411
2021-02-06,NOK,0.250354961832061
2021-02-07,AMC,0.18818357933579316
2021-02-07,GME,0.1302802378255948
2021-02-07,NOK,0.31307305936073043
2021-02-08,AMC,0.13925640138408318
2021-02-08,GME,0.13153010981225643
2021-02-08,NOK,0.21817468553459088
2021-02-09,AMC,0.12100131723380915
2021-02-09,GME,0.1439832026875699
2021-02-09,NOK,0.179688848263254
2021-02-10,AMC,0.1293302122347064
2021-02-10,GME,0.1438852058186321
2021-02-10,NOK,0.21441230769230765
2021-02-11,AMC,0.14950961718020567
2021-02-11,GME,0.13358087818696882
2021-02-11,NOK,0.17447806603773572
2021-02-12,AMC,0.17879574599260203
2021-02-12,GME,0.16174136392606786
2021-02-12,NOK,0.21026816901408452
2021-02-13,AMC,0.19902932489451472
2021-02-13,GME,0.17539714765100659
2021-02-13,NOK,0.357634939759036
2021-02-14,AMC,0.21851355633802821
2021-02-14,GME,0.18109616055846411
2021-02-14,NOK,0.33904285714285715
2021-02-15,AMC,0.20162731481481483
2021-02-15,GME,0.1676431428571429
2021-02-15,NOK,0.30137768595041325
2021-02-16,AMC,0.1904672140120419
2021-02-16,GME,0.1439069393718044
2021-02-16,NOK,0.24267637130801684
2021-02-17,AMC,0.14995564853556498
2021-02-17,GME,0.09139083232810616
