Date,Stock,Sentiment
2021-01-01,AAPL,0.2122449519230768
2021-01-01,PLTR,0.23011018518518522
2021-01-01,TSLA,0.20641088495575247
2021-01-02,AAPL,0.1805373096446701
2021-01-02,PLTR,0.15360076923076926
2021-01-02,TSLA,0.17445349544072966
2021-01-03,AAPL,0.1869302895322941
2021-01-03,PLTR,0.19658088235294113
2021-01-03,TSLA,0.15424125286478238
2021-01-04,AAPL,0.14492039840637444
2021-01-04,PLTR,0.15136913265306107
2021-01-04,TSLA,0.1757273761919412
2021-01-05,AAPL,0.16603715517241363
2021-01-05,PLTR,0.1960051369863014
2021-01-05,TSLA,0.15166773511799944
2021-01-06,AAPL,0.14541705882352945
2021-01-06,PLTR,0.1095589171974523
2021-01-06,TSLA,0.15843164728157955
2021-01-07,AAPL,0.1671437163375226
2021-01-07,PLTR,0.2070608208955223
2021-01-07,TSLA,0.1836889704626941
2021-01-08,AAPL,0.13954093303235518
2021-01-08,PLTR,0.20763374233128828
2021-01-08,TSLA,0.16778886036228755
2021-01-09,AAPL,0.10730254668930381
2021-01-09,PLTR,0.19517317073170729
2021-01-09,TSLA,0.20455808383233548
2021-01-10,AAPL,0.10157750325097518
2021-01-10,PLTR,0.11141753246753244
2021-01-10,TSLA,0.17499653652392969
2021-01-11,AAPL,0.1256806751054853
2021-01-11,PLTR,0.17247980049875306
2021-01-11,TSLA,0.1570345707070705
2021-01-12,AAPL,0.163389341421144
2021-01-12,PLTR,0.2048176178660047
2021-01-12,TSLA,0.18397589229805866
2021-01-13,AAPL,0.19253710302091406
2021-01-13,PLTR,0.181555172413793
2021-01-13,TSLA,0.1830225429302155
2021-01-14,AAPL,0.18950967741935504
2021-01-14,PLTR,0.22115629290617828
2021-01-14,TSLA,0.18171761343336917
2021-01-15,AAPL,0.13717203703703704
2021-01-15,PLTR,0.19559031705227067
2021-01-15,TSLA,0.16716946064139954
2021-01-16,AAPL,0.161008108108108
2021-01-16,PLTR,0.23550676691729325
2021-01-16,TSLA,0.20983442069741326
2021-01-17,AAPL,0.1263497126436781
2021-01-17,PLTR,0.16350566037735847
2021-01-17,TSLA,0.153025
2021-01-18,AAPL,0.1864480106100795
2021-01-18,PLTR,0.2282756097560976
2021-01-18,TSLA,0.19422287037037045
2021-01-19,AAPL,0.13732708547888778
2021-01-19,PLTR,0.20652682539682501
2021-01-19,TSLA,0.17670624169986723
2021-01-20,AAPL,0.17315019394879774
2021-01-20,PLTR,0.14917461368653412
2021-01-20,TSLA,0.16980852109791073
2021-01-21,AAPL,0.17289052396878535
2021-01-21,PLTR,0.143306896551724
2021-01-21,TSLA,0.17561886625332174
2021-01-22,AAPL,0.18442465495608584
2021-01-22,PLTR,0.20223523083818945
2021-01-22,TSLA,0.1975876252723314
2021-01-23,AAPL,0.2086363136176067
2021-01-23,PLTR,0.216001809954751
2021-01-23,TSLA,0.20775998342999216
2021-01-24,AAPL,0.1785603535353534
2021-01-24,PLTR,0.19108280423280422
2021-01-24,TSLA,0.18805492451473765
2021-01-25,AAPL,0.17663245315161846
2021-01-25,PLTR,0.2009107421874999
2021-01-25,TSLA,0.17738697394789593
2021-01-26,AAPL,0.17598967861557505
2021-01-26,PLTR,0.19679377828054317
2021-01-26,TSLA,0.18433370967742005
2021-01-27,AAPL,0.127609240622141
2021-01-27,PLTR,0.16669857035364952
2021-01-27,TSLA,0.14550918938436536
2021-01-28,AAPL,0.14666072226358956
2021-01-28,PLTR,0.11438741007194249
2021-01-28,TSLA,0.14600081020862823
2021-01-29,AAPL,0.13809680495946616
2021-01-29,PLTR,0.1776916142557651
2021-01-29,TSLA,0.1468885379521141
2021-01-30,AAPL,0.20567651296829967
2021-01-30,PLTR,0.2589421319796953
2021-01-30,TSLA,0.2050518126888217
2021-01-31,AAPL,0.19864451612903233
2021-01-31,PLTR,0.19217187499999996
2021-01-31,TSLA,0.19835165876777286
2021-02-01,AAPL,0.1799576869806097
2021-02-01,PLTR,0.20654541176470592
2021-02-01,TSLA,0.19094730226854661
2021-02-02,AAPL,0.22174647577092518
2021-02-02,PLTR,0.17149344827586202
2021-02-02,TSLA,0.216673483947681
2021-02-03,AAPL,0.14062809307605026
2021-02-03,PLTR,0.18286496519721573
2021-02-03,TSLA,0.19041674360050315
2021-02-04,AAPL,0.14875869158878519
2021-02-04,PLTR,0.18899116279069741
2021-02-04,TSLA,0.18000586019254944
2021-02-05,AAPL,0.16855933429811895
2021-02-05,PLTR,0.21478400503778328
2021-02-05,TSLA,0.19132587646076793
2021-02-06,AAPL,0.22626649659863932
2021-02-06,PLTR,0.27769764705882355
2021-02-06,TSLA,0.21602928759894496
2021-02-07,AAPL,0.2455988617886178
2021-02-07,PLTR,0.27149193548387074
2021-02-07,TSLA,0.2505524934383202
2021-02-08,AAPL,0.11906421117249885
2021-02-08,PLTR,0.22040716417910466
2021-02-08,TSLA,0.18217954648526052
2021-02-09,AAPL,0.19835313681027997
2021-02-09,PLTR,0.20330901803607193
2021-02-09,TSLA,0.16603145416227644
2021-02-10,AAPL,0.18488481110254457
2021-02-10,PLTR,0.17072013574660616
2021-02-10,TSLA,0.14703879768227943
2021-02-11,AAPL,0.16211154185022045
2021-02-11,PLTR,0.17973868131868118
2021-02-11,TSLA,0.1761028911018314
2021-02-12,AAPL,0.20080769867549705
2021-02-12,PLTR,0.14479803571428557
2021-02-12,TSLA,0.16209097345132775
2021-02-13,AAPL,0.21834962962962956
2021-02-13,PLTR,0.16353879999999987
2021-02-13,TSLA,0.21061328621908165
2021-02-14,AAPL,0.24412990990991001
