,Date,Stock,Sentiment
0,2021-01-01,FB,0.293583393100308
1,2021-01-02,FB,0.17438265567368552
2,2021-01-03,FB,0.106898042667583
3,2021-01-04,FB,0.16485580391117863
4,2021-01-05,FB,0.1573729256832491
5,2021-01-06,FB,0.12109152446151711
6,2021-01-07,FB,0.020244652976980432
7,2021-01-08,FB,0.18420336999255232
8,2021-01-09,FB,-0.04540267119623927
9,2021-01-10,FB,0.005097685097678423
10,2021-01-11,FB,-0.012208994402666576
11,2021-01-12,FB,0.05070274058985524
12,2021-01-13,FB,0.13608676331525202
13,2021-01-14,FB,0.03335410436987877
14,2021-01-15,FB,0.15074549775442575
15,2021-01-16,FB,0.0741840798595229
16,2021-01-17,FB,0.058531185129433554
17,2021-01-18,FB,0.13742478869120484
18,2021-01-19,FB,0.2539267317679478
19,2021-01-20,FB,0.2877123468096834
20,2021-01-21,FB,0.22226837510091718
21,2021-01-22,FB,0.22462233908474447
22,2021-01-23,FB,0.23814865033873722
23,2021-01-24,FB,0.2657968894427209
24,2021-01-25,FB,0.23640367314533797
25,2021-01-26,FB,0.2603192228071857
26,2021-01-27,FB,0.19108736066392157
27,2021-01-28,FB,0.09008298277202993
28,2021-01-29,FB,0.1148256068630144
29,2021-01-30,FB,0.13800385496480197
30,2021-01-31,FB,0.1120911976510991
31,2021-02-01,FB,0.19379361725586933
32,2021-02-02,FB,0.20652370018116198
33,2021-02-03,FB,0.25734338606963864
34,2021-02-04,FB,0.15298664955065555
35,2021-02-05,FB,0.26408042877609844
36,2021-02-06,FB,0.23630200963432216
37,2021-02-07,FB,0.2015379801901936
38,2021-02-08,FB,0.1925774118301417
39,2021-02-09,FB,0.2480028584646061
40,2021-02-10,FB,0.1569890968030049
41,2021-02-11,FB,0.13480086734401994
42,2021-02-12,FB,0.17123799002312656
43,2021-02-13,FB,0.2290115251584782
44,2021-02-14,FB,0.23572137131747417
45,2021-02-15,FB,0.2761597809107722
46,2021-02-16,FB,0.23046164276078343
47,2021-02-17,FB,0.12481620712846052
48,2021-02-18,FB,-0.04520416891842615
49,2021-02-19,FB,0.06624127447395585
50,2021-02-20,FB,0.13814288940684646
51,2021-02-21,FB,0.14297483024616056
52,2021-02-22,FB,0.133265783334733
53,2021-02-23,FB,0.22521099213161505
54,2021-02-24,FB,0.1739772377779201
55,2021-02-25,FB,0.11320434019621461
56,2021-02-26,FB,0.17452562009878517
57,2021-02-27,FB,0.13551806893997065
58,2021-02-28,FB,0.13480751810773622
59,2021-03-01,FB,0.23986158837308175
60,2021-03-02,FB,0.1356882635720286
61,2021-03-03,FB,0.11036704246627581
62,2021-03-04,FB,0.2045341134838527
63,2021-03-05,FB,0.1989660677628126
64,2021-03-06,FB,0.18222558211773726
65,2021-03-07,FB,0.1599321439076997
66,2021-03-08,FB,0.15203251523516056
67,2021-03-09,FB,0.2287093393241521
68,2021-03-10,FB,0.1814427433963865
69,2021-03-11,FB,0.27605331930564714
70,2021-03-12,FB,0.21569829661794937
71,2021-03-13,FB,0.15981945782596085
72,2021-03-14,FB,0.17595519064134774
73,2021-03-15,FB,0.24223654679686296
74,2021-03-16,FB,0.2657750114207156
75,2021-03-17,FB,0.2589255438215332
76,2021-03-18,FB,0.19557671812642366
77,2021-03-19,FB,0.14070577104319817
78,2021-03-20,FB,0.16654705744054896
79,2021-03-21,FB,0.18771911196207616
80,2021-03-22,FB,0.21812419666408095
81,2021-03-23,FB,0.17992611382622273
82,2021-03-24,FB,0.10590390873933211
83,2021-03-25,FB,0.05311772118182853
84,2021-03-26,FB,0.1852462444921257
85,2021-03-27,FB,0.19570781664976783
86,2021-03-28,FB,0.25001079311706625
87,2021-03-29,FB,0.2422281413100427
88,2021-03-30,FB,0.15749085176200606
89,2021-03-31,FB,0.24112768852943556
90,2021-04-01,FB,0.23644872192305047
91,2021-04-02,FB,0.28084714707825714
92,2021-04-03,FB,0.01543728890008308
93,2021-04-04,FB,0.11951033149995131
94,2021-04-05,FB,0.2635711000643205
95,2021-04-06,FB,0.19909991624415851
96,2021-04-07,FB,0.19448764565715101
97,2021-04-08,FB,0.16002914343145677
98,2021-04-09,FB,0.16762345203454607
99,2021-04-10,FB,0.20232709182042247
100,2021-04-11,FB,0.2209526584597123
101,2021-04-12,FB,0.19477281905082056
102,2021-04-13,FB,0.1413375609124778
103,2021-04-14,FB,0.12356802261353005
104,2021-04-15,FB,0.14756820033164694
105,2021-04-16,FB,0.1413819925739359
106,2021-04-17,FB,0.18354287171328906
107,2021-04-18,FB,0.20855047908149024
108,2021-04-19,FB,0.2221692650213372
109,2021-04-20,FB,0.12992193896730897
110,2021-04-21,FB,0.17999865096691064
111,2021-04-22,FB,0.18578471455804538
112,2021-04-23,FB,0.25091132440115327
113,2021-04-24,FB,0.3027147735657835
114,2021-04-25,FB,0.28835191252414816
115,2021-04-26,FB,0.21706313193473034
116,2021-04-27,FB,0.22562998484284616
117,2021-04-28,FB,0.30919425456016325
118,2021-04-29,FB,0.25764177823241335
119,2021-04-30,FB,0.16207838452397846
120,2021-01-01,AMZN,0.29982306899445904
121,2021-01-02,AMZN,0.24089442665032076
122,2021-01-03,AMZN,0.21861389487790142
123,2021-01-04,AMZN,0.15366337511944583
124,2021-01-05,AMZN,0.23156773498491384
125,2021-01-06,AMZN,0.21124208437127526
126,2021-01-07,AMZN,0.18098308792547324
127,2021-01-08,AMZN,0.21147835752763786
128,2021-01-09,AMZN,0.1451478187678057
129,2021-01-10,AMZN,0.06291810508433264
130,2021-01-11,AMZN,0.0767784911703784
